FID,Empire,Continent,Origin,StartOriginal,Start,End,heightArea,heightYear,Length,pop0,pop25,pop50,pop75,pop100,SameStartYear,ModifiedStartYear,Information
0,Abbasid Caliphate,Asia,Iraq,750,750,1258,11.1,750,508,0,15,61,99,0,0,750,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
1,Achaemenid Empire,Asia,Persia,-550,-550,-330,5.5,-500,220,0,35,71,62,0,0,-550,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
2,Afsharid Dynasty,Asia,Persia,1736,1736,1796,0.01,1766,60,0,46,53,71,0,0,1736,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
3,Ahom Dynasty,Asia,North East India,1228,1228,1838,0.01,1533,610,0,38,63,86,0,0,1228,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
4,Akkadian Empire,Asia,Sumer,-2300,-2300,-2200,0.8,-2250,100,0,34,72,54,0,0,-2300,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
5,Aksumite Empire,Africa,Ethiopia,150,150,940,0.01,545,790,0,38,72,96,0,0,150,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
6,Akwamu,Africa,West Africa,1505,1505,1867,0.01,1686,362,0,19,75,50,0,0,1505,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
7,Almohad Caliphate,Africa,Morocco,1121,1121,1269,2,1200,148,0,20,86,90,0,0,1121,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
8,Almoravid dynasty,Africa,Morocco,1040,1040,1147,1,1120,107,0,25,59,59,0,0,1040,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
9,Angevin Empire,Europe,"England,Â France",1154,1154,1242,0.01,1198,88,0,16,54,85,0,0,1154,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
10,Armenian Empire,Europe,Armenia,-190,-190,428,0.01,119,618,0,42,86,94,0,0,-190,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
11,Ashanti Empire,Africa,West Africa,1670,1670,1902,0.1,1872,232,0,50,50,89,0,0,1670,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
12,Assyria,Asia,Mesopotamia,-2025,-2025,-609,1.4,-670,1416,0,45,86,90,0,0,-2025,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
13,Austria-Hungary,Europe,"Austria,Â Hungary",1867,1867,1918,0.01,1892.5,51,0,39,70,89,0,0,1867,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
14,Austrian Empire,Europe,Austria,1804,1804,1867,0.01,1835.5,63,0,31,95,76,0,0,1804,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
15,Ayyubid dynasty,Middle East,Middle East,1171,1171,1341,1.7,1200,170,0,41,64,52,0,0,1171,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
16,Aztec Empire,South America,Mesoamerica,1428,1428,1521,0.22,1520,93,0,48,55,58,0,0,1428,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
17,Babylonian Empire,Asia,Mesopotamia,-1900,-1900,-1600,0.01,-1750,300,0,15,50,66,0,0,-1900,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
18,Balhae,Asia,"North Korea,Â Manchuria",698,698,926,0.01,812,228,0,38,94,67,0,0,698,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
19,Bamana Empire,Africa,West Africa,1712,1712,1861,0.01,1786.5,149,0,24,72,57,0,0,1712,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
20,Belgian colonial empire,Europe,Belgium,1901,1901,1962,0.01,1931.5,61,0,20,74,97,0,0,1901,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi sit amet nisi vel lectus porta fermentum egestas in lorem. Quisque nulla leo, semper in suscipit vitae, aliquam et nulla. Cras non condimentum tellus. Aliquam ac nisi nisi. Praesent lacinia est nec neque iaculis euismod. Integer non est et dolor gravida tristique vitae in libero. Nulla facilisi. Suspendisse interdum vel neque rhoncus commodo. Suspendisse bibendum leo metus, vitae dapibus est scelerisque ut. Vestibulum tristique, sem tempor venenatis laoreet, lorem dolor dignissim magna, id lacinia ante nisl eget neque. Donec fringilla ac urna at accumsan. "
